5.1,3.5,1.4,0.2,0.0
5.1,3.5,1.4,0.2,0.0
4.9,3.0,1.4,0.2,0.0
6.0,2.2,4.0,1.0,1.0
5.8,2.7,3.9,1.2,1.0
6.1,2.9,4.7,1.4,1.0
7.2,3.6,6.1,2.5,2.0
6.5,3.0,5.8,2.2,2.0
5.1,3.5,1.4,0.2,0.0
6.4,3.2,4.5,1.5,1.0
7.2,3.6,6.1,2.5,2.0
5.0,3.4,1.5,0.2,0.0
6.7,3.1,4.7,1.5,1.0
6.7,3.1,4.7,1.5,1.0
6.7,3.1,4.7,1.5,1.0
5.0,3.4,1.5,0.2,0.0
7.2,3.6,6.1,2.5,2.0
6.4,3.2,4.5,1.5,1.0
5.1,3.5,1.4,0.2,0.0
5.1,3.5,1.4,0.2,0.0
5.1,3.5,1.4,0.2,0.0
6.4,3.2,4.5,1.5,1.0
6.4,3.2,4.5,1.5,1.0
6.4,3.2,4.5,1.5,1.0
4.9,3.1,1.5,0.1,0.0
